"","Site","EstInt","0","1","2","3","4","5","6","7","8","9","10"
"41","Shingle 2A",100,97.7,NA,NA,94.7,89,NA,85,NA,NA,NA,NA
"42","Shingle 1A",100,98.3,NA,100,NA,NA,99.9,94,NA,92.1,NA,NA
