VAR1,Site,Fire,Source,year_surveyed,Lat,Long,aspect,subD16,subD50,subD84,D84B,surD16,surD50,surD84,subD50range,sub_var,sur_var,obs_vol,est_perc_loss,initial_vol_est,DF_size,vol_lpred_error,vol_upred_error,obs_vol_low,obs_vol_high,Gartner.2008,G14_volmin_2yr,G14_vol_2yr,G14_volmax_2yr,G14_volmin_100yr,G14_vol_100yr,G14_volmax_100yr,cat_area,relief,mean_cat_elev,himod_perc,himod_area,slope23_perc,avg_slope,sort_unsort,clast_matrix,strat,boulder_perc,GSD_Q,Vol_Q,dom_lith,Lith_type,X2yr_storm,X100yr_storm,Al2O3Ws,CaOWs,Fe2O3Ws,K2OWs,MgOWs,Na2OWs,NWs,P2O5Ws,SiO2Ws,PctAlluvCoastWs,PctEolFineWs,PctCarbResidWs,PctNonCarbResidWs,PctSilicicWs,CompStrgthWs,HydrlCondWs,AvgWetIndxWs,ClayWs,AgKffactWs,PermWs,RckdepWs,OmWs,SandWs,PctBl2011Ws,PctConif2011Ws,PctDecid2011Ws,PctGrs2011Ws,PctHay2011Ws,PctHbWet2011Ws,PctMxFst2011Ws,PctShrb2011Ws,Precip8110Ws,RunoffWs,Tmean8110Ws,WtDepWs,subD16_phi,order,ln_tmean,sqrt_tmean,ln_conif,sqrt_conif,ln_slope,sqrt_slope,ln_rckdep,sqrt_rckdep,ln_noncarb,sqrt_noncarb,ln_comp,sqrt_comp,ln_na2o,sqrt_na2o,ln_mx,sqrt_mx,ln_mgo,sqrt_mgo,ln_decid,sqrt_decid,ln_wtdep,sqrt_wtdep,ln_elev,sqrt_elev,ln_runoff,sqrt_runoff,ln_clay,sqrt_clay,ln_avgslope,sqrt_avgslope,pred,resid
12,Dollar Ridge 3,"Dollar Ridge Fire, 2018",Primary Fieldwork,2020,40.118462,-110.829193,NA,2.41,5.17,7.93,370,2,24.69,54.98,NA,1.72,4.78,60,45,87,small,-25,35,65.25,117.45,NA,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.07,279,2028,0,0,0,26.57410049,unsorted,matrix,not stratified,3,3,2,sandstone,sedimentary,3.52,10,9.47,6.2,4.16,1.96,3.02,1.1,0.05,0.16,58.28841377,1.97,0,0,85.04,0,67.93,0.21,424.18,23.72,0,5.33,115.31,1.16,33.64,0.6,19.49,37.16,0.14,0.01,0.03,1.21,31.09,643.03,59.3,4.41,179.13,1.269033147,11,1.48387469,2.1,2.969901514,4.414748011,,0,4.747624154,10.73824939,4.443121734,9.221713507,4.218477763,8.241965785,0.09531018,1.048808848,0.19062036,1.1,1.105256831,1.73781472,3.615232914,6.095900262,5.188111799,13.38394561,7.614805365,45.033321,4.082609306,7.700649323,3.166318574,4.870318265,3.279937076,5.155007322,-0.578139008,1.847172155
13,Dollar Ridge 4,"Dollar Ridge Fire, 2018",Primary Fieldwork,2020,40.12064,-110.790771,NA,2.7,7.5,46.98,628,10.33,19.3,36.28,6.92,4.12,1.81,650,60,1040,small,-25,35,780,1404,NA,157.3765065,1259.715354,10083.35239,250.9352514,2008.603419,16077.80363,0.52,464,2137,35,0.18,70,24.20999908,sorted,matrix,not stratified,10,4,3,sandstone,sedimentary,3.52,9.44,9.25,7.17,4.02,1.92,3.06,1.09,0.05,0.16,56.80742655,1.65,0,0,87.49,0,68.94,0.19,395.36,23.6,0,5.2,113.32,1.17,33.53,1.66,25.02,32.88,0.13,0.01,0.02,1.46,30.01,629.54,59.07,4.49,179.72,1.432959407,12,1.501852702,2.11896201,3.219675505,5.0019996,4.248495242,8.366600265,4.730215675,10.64518671,4.471524501,9.353608929,4.233236561,8.303011502,0.086177696,1.044030651,0.378436436,1.208304597,1.118414916,1.749285569,3.49286457,5.734108475,5.191400084,13.40596882,7.667158255,46.22769733,4.078723181,7.685701009,3.161246712,4.857983121,3.186765733,4.920365747,-0.639159634,2.072119042
14,Dollar Ridge 5,"Dollar Ridge Fire, 2018",Primary Fieldwork,2020,40.121447,-110.834881,NA,3.43,20.56,60.11,720,10.58,29.09,61.65,42.34,4.13,2.54,3000,20,3600,small,-25,35,2700,4860,NA,253.862822,2032.037067,16265.37754,435.1947662,3483.502978,27883.5913,2.77,607,2295,10,0.28,41,24.21559906,sorted,matrix,not stratified,5,4,4,sandstone,sedimentary,2.83,9.39,9.47,6.21,4.16,1.96,3.02,1.1,0.05,0.16,58.27125284,1.99,0,0,84.9,0,67.91,0.22,425.92,23.75,0,5.33,115.44,1.15,33.62,0.57,18.94,37.45,0.14,0.01,0.03,1.22,31.27,644.79,59.31,4.39,179.1,1.778208576,13,1.479329227,2.095232684,2.941276088,4.352011029,3.713572067,6.403124237,4.748750915,10.74430082,4.441474093,9.2141196,4.218183299,8.240752393,0.09531018,1.048808848,0.198850859,1.104536102,1.105256831,1.73781472,3.62300671,6.119640512,5.187944309,13.38282481,7.738488123,47.90615827,4.082777926,7.701298592,3.167582531,4.873397172,3.186997015,4.920934775,-0.413022389,2.191230965
15,Lake Fork 1,"Pole Creek Fire, 2018",Primary Fieldwork,2020,39.962445,-111.458642,NA,6.3,23.09,58.11,1310,2,21.34,52.27,23.54,3.21,4.71,11000,25,13750,medium,-28,30,9900,17875,NA,1753.876563,14038.85043,112373.5418,3075.094964,24614.50204,197026.0165,9.06,916,2120,75,6.8,58,21.99250031,sorted,matrix,not stratified,20,4,4,sandstone,sedimentary,3.27,10.55,4.69,19.87,2.32,1.41,5.83,0.34,0.05,0.11,36.00748314,0,0,0,100,0,76.57,0.21,244.16,34.03,0,1.76,145.16,1.07,23.47,0,38.97,55.89,0,0,0,0.27,4.87,575,248,7.38,182.88,2.655351829,14,1.998773639,2.716615541,3.662792119,6.242595614,4.060443011,7.615773106,4.977836582,12.04823639,4.605170186,10,4.338205355,8.750428561,-1.078809661,0.58309519,-1.30933332,0.519615242,1.763017,2.414539294,4.023385473,7.475961477,5.2088302,13.5233132,7.659171368,46.04345773,5.513428746,15.74801575,3.527242489,5.833523806,3.0907015,4.689616222,1.487192373,1.168159456
16,Lake Fork 2,"Pole Creek Fire, 2018",Primary Fieldwork,2020,39.966936,-111.456697,NA,3.4,16,58.48,620,12.58,33.71,68,25.06,4.1,2.43,830,40,1162,small,-25,35,871.5,1568.7,NA,100.8758689,807.4577565,6463.270511,176.7178271,1414.532354,11322.58026,0.26,373,1861,50,0.13,46,20.71120071,unsorted,matrix,not stratified,3,3,2,sandstone,sedimentary,3.2,10.41,5.93,15.9,2.78,1.63,5.05,0.51,0.06,0.12,42.17464891,1.62,0,0,95.76,2.62,72.05,0.3,249.06,30.96,0,2.26,142.02,1.42,26.17,0.06,43.27,49.68,0,0.05,0,0.52,6.1,612.78,246.52,6.4,182.88,1.765534746,15,1.85629799,2.529822128,3.767459554,6.577993615,3.828641397,6.782329983,4.955967893,11.91721444,4.561845061,9.785703858,4.277360322,8.488227141,-0.673344553,0.714142843,-0.653926467,0.721110255,1.619388243,2.247220505,3.905602438,7.048404075,5.2088302,13.5233132,7.528869257,43.13930922,5.507443126,15.70095539,3.432696049,5.564171097,3.030674651,4.550956022,0.909185039,0.856349707
17,POCR Blind Canyon 1,"Pole Creek Fire, 2018",Primary Fieldwork,2020,39.941927,-111.523092,NA,1.44,13.05,33.05,724,9.74,18.2,30.31,9.82,4.52,1.64,520,60,832,small,-25,35,624,1123.2,NA,85.48833074,684.2886859,5477.367515,148.9647865,1192.384003,9544.400685,0.52,319,1874,27,0.14,40,24.81489944,unsorted,matrix,not stratified,3,3,NA,dacite,igneous,3.16,10.25,5,21.15,2.37,1.46,5.58,0.55,0.05,0.11,34.67663335,1.12,0,0,91.02,7.87,79.49,0.18,257.71,34.02,0,1.76,145.22,1.07,23.45,0.02,36.99,49.27,0,0,0,1.16,12.35,586.85,248,6.97,182.88,0.526068812,16,1.941615225,2.640075757,3.610647606,6.08194048,3.688879454,6.32455532,4.978249834,12.05072612,4.511079263,9.540440241,4.375631228,8.91571646,-0.597837001,0.741619849,0.148420005,1.077032961,1.719188776,2.362202362,3.897315377,7.01925922,5.2088302,13.5233132,7.535830463,43.28972164,5.513428746,15.74801575,3.526948587,5.832666629,3.211444257,4.981455554,1.215336936,-0.689268124
18,POCR Cox Canyon,"Pole Creek Fire, 2018",Primary Fieldwork,2020,39.892185,-111.536011,NA,0.047,17.01,40.3,505,9.2,25.31,45.3,14.1,9.74,2.3,2600,5,2730,small,-25,35,2047.5,3685.5,NA,427.8025739,3424.332404,27409.96228,749.7139723,6001.062186,48035.31572,3.24,579,2115,39,1.26,65,21.78660011,sorted,matrix,not stratified,35,3,4,sandstone,sedimentary,3.28,10.56,6.09,18.95,2.94,1.67,5.03,0.84,0.05,0.11,38.11168222,6.79,0,0,81.86,11.35,77.33,0.38,250.31,33.63,0,1.99,145.49,1.08,23.73,0,52.73,7.35,0,0.02,0,0.11,38.92,507.58,248,7.27,182.88,-4.411195433,17,1.983756292,2.696293753,3.965184554,7.261542536,4.17438727,8.062257748,4.980107356,12.06192356,4.405010471,9.047651629,4.348081979,8.793747779,-0.174353387,0.916515139,-2.207274913,0.331662479,1.615419984,2.242766149,1.994700313,2.711088342,5.2088302,13.5233132,7.656810092,45.98912915,5.513428746,15.74801575,3.515418526,5.799137867,3.081295107,4.667611821,0.976922822,-5.388118255
19,POCR Thistle Creek,"Pole Creek Fire, 2018",Primary Fieldwork,2020,39.953434,-111.529686,NA,2.97,17.47,49.11,490,18.2,39.7,81.67,14.66,4.05,2.17,230,5,241.5,small,-25,35,181.125,326.025,NA,37.24853428,298.1547347,2386.570306,64.91466924,519.6074521,4159.181698,0.28,255,1744,10,0.03,40,28.37339973,sorted,matrix,not stratified,10,4,5,dacite,igneous,3.12,10.18,8.68,11.78,4.72,2.08,3.22,1.34,0.09,0.14,49.19098448,16.81,0,0,60.87,22.32,69.42,4.12,307.32,28.56,0.01,3.34,137.35,1.28,26.97,0.09,27.28,38.55,0,2.35,0,0.32,30.16,556.44,246.1,6.61,182.88,1.570462931,18,1.888583654,2.570992026,3.306153833,5.223025943,3.688879454,6.32455532,4.922532413,11.71964163,4.108740443,7.80192284,4.24017501,8.331866538,0.292669614,1.15758369,-1.139434283,0.565685425,1.16938136,1.794435845,3.6519561,6.208864631,5.2088302,13.5233132,7.463936605,41.76122604,5.505737957,15.6875747,3.352007138,5.344155686,3.345452077,5.326668727,0.9139843,0.656478631
20,Seeley 1,"Seeley Fire, 2012",Primary Fieldwork,2020,39.541237,-111.161819,NA,0.05,32,93,855,26.36,62,119.43,0,10.86,2.18,490,35,661.5,small,-25,35,496.125,893.025,NA,169.4400006,1356.277218,10856.27883,295.8906087,2368.447179,18958.16182,0.39,520,2721,36,0.14,81,21.20680046,unsorted,matrix,not stratified,10,4,3,sandstone,sedimentary,3.55,10.98,4.23,15.83,3.04,1.33,6.09,0.24,0.12,0.12,38.76013599,0,0,0,100,0,58.61,0.12,297.03,24.65,0,4.2,110.26,1.22,30.12,0.15,44.81,36.09,0.32,0,0,3.82,12.24,689.59,24.68,3.01,182.38,-4.321928095,19,1.101940079,1.734935157,3.802431329,6.694027189,4.394449155,9,4.702841213,10.50047618,4.605170186,10,4.070905331,7.655716818,-1.427116356,0.489897949,1.340250423,1.954482029,1.806648082,2.467792536,3.586015819,6.007495318,5.206092423,13.50481396,7.908754739,52.16320542,3.205993199,4.967896939,3.204776901,4.964876635,3.054321907,4.605084197,-2.380861077,-1.941067017
21,Shingle 1,"Shingle Fire, 2012",Primary Fieldwork,2020,37.43088175,-112.6007859,NA,1.02,14.21,43.29,570,11.82,26.4,50.61,1.06,5.41,2.1,930,10,1023,small,-25,35,767.25,1381.05,NA,92.9027319,743.6370296,5952.419487,174.1280266,1393.802376,11156.64779,0.47,290,2326,44,0.21,42,17.44420052,unsorted,matrix,not stratified,10,4,4,Limestone,sedimentary,3.65,12.4,5.16,23.87,2.53,1.43,3.9,0.42,0.05,0.11,32.93591321,0.2,0,0,99.8,0,70.79,0.16,252.67,27.44,0,3.54,88.75,0.97,27.54,3.55,91.99,2.93,0,0,0,0.18,1.27,507.73,38.01,6.25,182.88,0.028569152,20,1.832581464,2.5,4.521679876,9.591141746,3.737669618,6.480740698,4.485823428,9.420721841,4.603168183,9.989994995,4.259717748,8.413679338,-0.867500568,0.64807407,-1.714798428,0.424264069,1.360976553,1.974841766,1.075002423,1.711724277,5.2088302,13.5233132,7.751905333,48.22862221,3.637849283,6.165225057,3.312001803,5.238320342,2.859007245,4.176625494,-2.50193422,2.530503372
