VAR1,Site,Fire,Source,year_surveyed,Lat,Long,aspect,subD16,subD50,subD84,D84B,surD16,surD50,surD84,subD50range,sub_var,sur_var,obs_vol,est_perc_loss,initial_vol_est,DF_size,vol_lpred_error,vol_upred_error,obs_vol_low,obs_vol_high,Gartner.2008,G14_volmin_2yr,G14_vol_2yr,G14_volmax_2yr,G14_volmin_100yr,G14_vol_100yr,G14_volmax_100yr,cat_area,relief,mean_cat_elev,himod_perc,himod_area,slope23_perc,avg_slope,sort_unsort,clast_matrix,strat,boulder_perc,GSD_Q,Vol_Q,dom_lith,Lith_type,X2yr_storm,X100yr_storm,Al2O3Ws,CaOWs,Fe2O3Ws,K2OWs,MgOWs,Na2OWs,NWs,P2O5Ws,SiO2Ws,PctAlluvCoastWs,PctEolFineWs,PctCarbResidWs,PctNonCarbResidWs,PctSilicicWs,CompStrgthWs,HydrlCondWs,AvgWetIndxWs,ClayWs,AgKffactWs,PermWs,RckdepWs,OmWs,SandWs,PctBl2011Ws,PctConif2011Ws,PctDecid2011Ws,PctGrs2011Ws,PctHay2011Ws,PctHbWet2011Ws,PctMxFst2011Ws,PctShrb2011Ws,Precip8110Ws,RunoffWs,Tmean8110Ws,WtDepWs,subD16_phi,order,ln_tmean,sqrt_tmean,ln_conif,sqrt_conif,ln_slope,sqrt_slope,ln_rckdep,sqrt_rckdep,ln_noncarb,sqrt_noncarb,ln_comp,sqrt_comp,ln_na2o,sqrt_na2o,ln_mx,sqrt_mx,ln_mgo,sqrt_mgo,ln_decid,sqrt_decid,ln_wtdep,sqrt_wtdep,ln_elev,sqrt_elev,ln_runoff,sqrt_runoff,ln_clay,sqrt_clay,ln_avgslope,sqrt_avgslope,pred,resid
22,Tie Fork 1,"Tank Hollow Fire, 2017",Primary Fieldwork,2020,39.982624,-111.212959,NA,0.76,5.21,19.23,800,7.62,17.74,37.65,1.2,4.66,2.3,600,10,660,small,-25,35,495,891,NA,173.8804215,1391.820429,11140.78336,306.5510659,2453.778478,19641.19355,1.35,442,2224,23,0.31,53,22.69799995,unsorted,matrix,not stratified,5,4,3,shale,sedimentary,3.28,10.66,7.13,17.74,3.15,1.59,3.37,1.04,0.11,0.19,39.85138772,2.2,0,0,97.8,0,74.37,0.36,233.67,21.63,0,4.96,103.34,0.55,39.45,0.48,49.55,37.75,0,0,0,0.09,12.13,535.9,244.67,5.63,182.88,-0.395928676,21,1.728109442,2.372762104,3.902982261,7.039176088,3.970291914,7.280109889,4.638024523,10.16562836,4.582924577,9.889388252,4.309052635,8.623804265,0.039220713,1.019803903,-2.407945609,0.3,1.214912744,1.835755975,3.630985476,6.144102864,5.2088302,13.5233132,7.707062655,47.15930449,5.499910364,15.64193083,3.07408124,4.650806382,3.122276813,4.764241802,-1.122183884,0.726255208
23,Tie Fork 2,"Tank Hollow Fire, 2017",Primary Fieldwork,2020,39.998112,-111.215523,NA,1.67,11.36,46.41,884,7.77,26.13,50.66,5.72,4.8,2.7,2200,15,2530,small,-25,35,1897.5,3415.5,NA,80.8419567,647.0969293,5179.667256,142.5244256,1140.832335,9131.756958,0.26,339,2256,36,0.09,47,27.48920059,unsorted,matrix,not stratified,10,4,4,shale,sedimentary,3.33,10.75,7.19,17.55,3.22,1.59,3.35,1.04,0.12,0.19,40.09374353,5.27,0,0,94.73,0,73.73,0.4,237.14,21.53,0,5,103.28,0.53,39.78,0.21,41.85,48.92,0,0,0,0.06,8.97,556.23,246.53,5.6,182.88,0.739848103,22,1.722766598,2.366431913,3.734091797,6.469157596,3.850147602,6.8556546,4.637443747,10.16267681,4.55103074,9.732933782,4.300409772,8.586617495,0.039220713,1.019803903,-2.813410717,0.244948974,1.208960346,1.830300522,3.890186311,6.99428338,5.2088302,13.5233132,7.721348613,47.49736835,5.50748369,15.70127383,3.069447311,4.640043103,3.313793222,5.243014456,-1.175952556,1.915800658
24,Trailmountain 1,"Trail Mountain, 2017",Primary Fieldwork,2020,39.424023,-111.156711,NA,0.02,4.27,47.35,790,2,4.3,50.2,8.9,11.21,4.65,1700,40,2380,small,-25,35,1785,3213,NA,199.6889158,1598.403719,12794.37288,346.1198819,2770.505835,22176.42783,1.32,569,2678,12,0.16,76,33.61119843,unsorted,matrix,stratified,10,4,3,sandstone,sedimentary,3.4,10.59,4.7,15.54,2.92,1.43,5.81,0.3,0.1,0.13,40.16686016,0,0,0,100,0,61.28,0.11,235.61,21.41,0,7.81,118.6,1.09,33.22,0.12,66.64,22.51,0,0,0,9.13,1.59,684.75,24,4.05,182.88,-5.64385619,23,1.398716881,2.01246118,4.199304998,8.163332653,4.33073334,8.717797887,4.775756487,10.89036271,4.605170186,10,4.115453525,7.828154316,-1.203972804,0.547722558,2.211565695,3.021588986,1.759580571,2.410394159,3.113959655,4.744470466,5.2088302,13.5233132,7.892825526,51.74939613,3.17805383,4.898979486,3.063858103,4.627094121,3.514859298,5.797516574,-2.852773279,-2.791082911
25,Trailmountain 2,"Trail Mountain, 2017",Primary Fieldwork,2020,39.423344,-111.140594,NA,0.016,0.76,29.24,955,2,14.24,45,4.42,10.84,4.49,180,40,252,small,-25,35,189,340.2,NA,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.1,469,2506,0,0,95,31.01519966,unsorted,matrix,stratified,15,4,3,sandstone,sedimentary,3.26,10.28,4.7,15.54,2.92,1.43,5.81,0.3,0.1,0.13,40.16686016,0,0,0,100,0,61.28,0.11,235.61,21.41,0,7.81,118.6,1.09,33.22,0.12,66.64,22.51,0,0,0,9.13,1.59,684.75,24,4.05,182.88,-5.965784285,24,1.398716881,2.01246118,4.199304998,8.163332653,4.553876892,9.746794345,4.775756487,10.89036271,4.605170186,10,4.115453525,7.828154316,-1.203972804,0.547722558,2.211565695,3.021588986,1.759580571,2.410394159,3.113959655,4.744470466,5.2088302,13.5233132,7.826443136,50.05996404,3.17805383,4.898979486,3.063858103,4.627094121,3.434477396,5.569129165,-2.683504115,-3.282280169
26,Trailmountain 3,"Trail Mountain, 2017",Primary Fieldwork,2020,39.404434,-111.137222,NA,0.64,13.68,52.17,1520,2,18.44,37.44,0.35,6.35,4.23,1370,15,1575.5,small,-25,35,1181.625,2126.925,NA,234.1406675,1874.171694,15001.74907,404.0137069,3233.915158,25885.77335,0.54,586,2560,42,0.23,83,28.17790031,unsorted,matrix,not stratified,10,4,4,sandstone,sedimentary,3.25,10.25,4.91,15.81,2.83,1.48,5.72,0.32,0.09,0.13,40.33012336,0,0,0,100,0,63.35,0.11,240.92,24.96,0,7.17,118.5,1.02,31.61,0.21,78.92,9.96,0.22,0,0,5.38,5.24,715.32,24,3.99,178.86,-0.64385619,25,1.383791231,1.997498436,4.368434681,8.883692926,4.418840608,9.110433579,4.774912961,10.88577053,4.605170186,10,4.148674907,7.959271323,-1.139434283,0.565685425,1.682688374,2.319482701,1.743968805,2.391652149,2.298577072,3.155946768,5.186603377,13.37385509,7.847762538,50.59644256,3.17805383,4.898979486,3.217274544,4.995998399,3.338537994,5.308286005,-2.983580136,2.339723946
27,Trailmountain 4,"Trail Mountain, 2017",Primary Fieldwork,2020,39.461922,-111.180023,NA,0.021,0.79,20.4,530,2,2,39.98,1.69,9.92,4.32,210,30,273,small,-25,35,204.75,368.55,NA,155.9197145,1248.054508,9990.013509,270.9629368,2168.914404,17361.00793,0.28,501,2782,47,0.13,81,22.27659988,unsorted,matrix,not stratified,2,5,2,sandstone,sedimentary,3.5,10.81,4.79,15.46,2.91,1.46,5.81,0.3,0.1,0.13,40.37873167,0,0,0,100,0,61.58,0.11,237.33,22.74,0,7.13,119.51,1.17,31.47,0.15,45.15,39.36,0.12,0,0,6.3,8.92,751.46,24,3.56,182.16,-5.573466862,26,1.269760545,1.886796226,3.80999028,6.719374971,4.394449155,9,4.78340005,10.93206293,4.605170186,10,4.120337143,7.847292527,-1.203972804,0.547722558,1.840549633,2.50998008,1.759580571,2.410394159,3.672750072,6.273754857,5.204885422,13.49666626,7.930925373,52.74466798,3.17805383,4.898979486,3.124125488,4.768647607,3.103536795,4.719809306,-1.675972713,-3.897494149
28,West Valley 1,"West Valley, 2018",Primary Fieldwork,2020,37.450813,-113.437439,NA,0.038,2.22,6.69,413,2,4.85,14.12,0.24,7.46,2.82,50,5,52.5,small,-25,35,39.375,70.875,NA,124.8027162,998.9794624,7996.300052,229.7934307,1839.374373,14723.21499,0.34,326,2371,67,0.23,49,18.79859924,unsorted,matrix,not stratified,3,5,3,volcanic,igneous,5,14.45,14.65,2.85,4.9,3.58,1.37,3.54,0.03,0.15,66.55330899,1.05,0,0,0,98.95,86.68,0.15,253.86,20.9,0,6.12,58.9,0.55,47.65,0.04,89.82,0.84,0,0.12,0.02,7.59,1.4,679.79,38,6.32,182.88,-4.717856771,27,1.843719208,2.513961018,4.497807668,9.477341399,3.891820298,7,4.075841091,7.674633542,,0,4.462223177,9.31020945,1.264126727,1.881488772,2.026831591,2.754995463,0.31481074,1.170469991,-0.174353387,0.916515139,5.2088302,13.5233132,7.771067086,48.6929153,3.63758616,6.164414003,3.039749159,4.57165178,2.933782359,4.335735144,-3.497126943,-1.220729829
29,West Valley 2,"West Valley, 2018",Primary Fieldwork,2020,37.448124,-113.406265,NA,0.84,5.85,43.16,770,2,9.65,128,0.32,5.68,6,100,20,120,small,-25,35,90,162,NA,156.097008,1249.473648,10001.37297,288.0057526,2305.333094,18452.96709,0.75,332,2600,52,0.39,34,23.59630013,sorted,matrix,not stratified,10,3,3,volcanic,igneous,5.1,14.66,14.65,2.85,4.9,3.58,1.37,3.54,0.03,0.15,66.55330899,1.05,0,0,0,98.95,86.68,0.15,253.86,20.9,0,6.12,58.9,0.55,47.65,0.04,89.82,0.84,0,0.12,0.02,7.59,1.4,679.79,38,6.32,182.88,-0.251538767,28,1.843719208,2.513961018,4.497807668,9.477341399,3.526360525,5.830951895,4.075841091,7.674633542,,0,4.462223177,9.31020945,1.264126727,1.881488772,2.026831591,2.754995463,0.31481074,1.170469991,-0.174353387,0.916515139,5.2088302,13.5233132,7.863266724,50.99019514,3.63758616,6.164414003,3.039749159,4.57165178,3.161089926,4.857602303,-3.809955602,3.558416835
30,West Valley 3,"West Valley, 2018",Primary Fieldwork,2020,37.449371,-113.415977,NA,0.04,6.72,138.84,613,2,16,43.85,12.52,11.76,4.45,230,25,287.5,small,-25,35,215.625,388.125,NA,259.0346228,2073.434586,16596.74269,476.8459428,3816.898526,30552.2456,1.04,421,2536,66,0.69,53,20.2,unsorted,matrix,not stratified,5,4,3,volcanic,igneous,5.15,14.7,14.65,2.85,4.9,3.58,1.37,3.54,0.03,0.15,66.55330899,1.05,0,0,0,98.95,86.68,0.15,253.86,20.9,0,6.12,58.9,0.55,47.65,0.04,89.82,0.84,0,0.12,0.02,7.59,1.4,679.79,38,6.32,182.88,-4.64385619,29,1.843719208,2.513961018,4.497807668,9.477341399,3.970291914,7.280109889,4.075841091,7.674633542,,0,4.462223177,9.31020945,1.264126727,1.881488772,2.026831591,2.754995463,0.31481074,1.170469991,-0.174353387,0.916515139,5.2088302,13.5233132,7.838343316,50.35871325,3.63758616,6.164414003,3.039749159,4.57165178,3.005682604,4.494441011,-3.588503694,-1.055352496
31,Frenchy's Meadow,"Yellowstone Fires, 1988","Meyer and Wells, 19",,45.082156,-110.16194,NA,0.024,0.21,3.25,NA,,,,NA,7.08,,,,,,,,,,NA,365.5443641,2925.988499,23420.98399,365.5443641,2925.988499,23420.98399,1.6,785,2411,87,1.39,36,26.55,,,,,,NA,volcanic,igneous,,,12.53,8.07,6.06,2.28,4.27,2.4,0.04,0.21,53.75300159,0,0,9.48,0,90.52,136,1.15,321.02,19.38,0,5.99,119.38,0.73,41.35,0.77,29.57,0.03,11.39,0,0.6,0.05,57.17,839.91,461.32,0.92,174.69,-5.380821784,30,-0.083381609,0.959166305,3.386760334,5.43783045,3.583518939,6,4.782311683,10.9261155,,0,4.912654886,11.66190379,0.875468737,1.549193339,-2.995732274,0.223606798,1.451613827,2.066397832,-3.506557897,0.173205081,5.163012975,13.21703446,7.787796878,49.10193479,6.134091945,21.4783612,2.964241607,4.402272141,3.279029748,5.152669211,-5.206983986,-0.173837798
32,Slough R.S.,"Yellowstone Fires, 1988","Meyer and Wells, 19",,45.054164,-110.149262,NA,0.05,0.66,4,NA,,,,NA,6.32,,,,,,,,,,NA,324.9897873,2601.37065,20822.5905,324.9897873,2601.37065,20822.5905,0.95,800,2614,96,0.91,72,20,,,,,,NA,gneiss,metamorphic,,,12.27,8.73,6,2.26,4.39,2.37,0.04,0.22,52.5360139,0,0,10.49,0.11,89.4,132.96,1.03,318.28,19.45,0,5.94,118.91,0.73,41.14,0.92,26.72,0.04,10.6,0,0.59,0.04,60.65,819.74,461.57,1,175.46,-4.321928095,31,0,1,3.285412349,5.169139193,4.276666119,8.485281374,4.778366904,10.90458619,-2.207274913,0.331662479,4.890048331,11.53082824,0.862889955,1.539480432,-3.218875825,0.2,1.479329227,2.095232684,-3.218875825,0.2,5.167411097,13.24613151,7.868636894,51.12729213,6.134633722,21.48418023,2.96784707,4.410215414,2.995732274,4.472135955,-4.459331522,0.137403427
33,Twelve Kilometer,"Yellowstone Fires, 1988","Meyer and Wells, 19",,44.99476,-110.19465,NA,0.006,0.15,2.31,NA,,,,NA,8.59,,11000,,11000,medium,-28,30,7920,14300,NA,399.5673079,3198.324095,25600.8858,399.5673079,3198.324095,25600.8858,1.75,819,2473,82,1.44,35,33.84120178,,,,,,NA,volcanic,igneous,,,15.07,5.67,8.19,1.95,3.16,2.98,0.06,0.23,57.38490188,0,0,0,0,73.52,107.19,1.43,289,10.33,0,10.25,110.29,0.65,52.37,0,86.16,0.25,1.52,0,0.22,0,11.83,751.13,463,1.1,165.61,-7.380821784,32,0.09531018,1.048808848,4.456206033,9.282241109,3.555348062,5.916079783,4.70311326,10.50190459,,0,4.674602961,10.35326036,1.091923301,1.72626765,,0,1.150572028,1.777638884,-1.386294361,0.5,5.109635627,12.86895489,7.813187268,49.72926704,6.137727054,21.51743479,2.335052283,3.214031736,3.521679048,5.817319123,-7.515437004,0.13461522
43,Shingle Creek site 1,"Twitchell Fire, 2010",Murphy et al. 2019,2017,38.486138,-112.497659,NA,2.78,27.41,75.1,NA,7.66,40.86,116.12,NA,2.47,4.84,,,,,,,,,NA,106.9729253,856.2614555,6853.918203,199.2796435,1595.127711,12768.15018,0.23,287,2914,92,0.21,11,15.6,,,,,,NA,volcanic,igneous,5.2,15.02,13.82,2.6,4.49,3.32,1.27,3.3,0.03,0.14,67.83439124,0,0,0,7.41,92.59,75.95,0.05,292,41.82,0,1.46,145.69,0.24,18.97,0,18.25,2.38,0.01,0,0,0.89,78.39,716.44,66,5.48,182.88,1.475084883,33,1.701105101,2.340939982,2.90416508,4.272001873,2.397895273,3.31662479,4.981481077,12.07021127,2.002830439,2.722131518,4.330075229,8.714929719,1.193922469,1.816590213,-0.116533816,0.943398113,0.239016901,1.126942767,0.867100488,1.542724862,5.2088302,13.5233132,7.977281987,53.98147831,4.189654742,8.124038405,3.733374694,6.466838486,2.747270914,3.949683532,1.826731659,-0.351646776
44,Shingle Creek site 2,"Twitchell Fire, 2010",Murphy et al. 2019,2017,38.521416,-112.48801,NA,5.8,11.37,32.1,NA,4.9,45,140.26,NA,5.23,,,,,,,,,,NA,718.2384938,5749.117697,46018.63389,1318.540648,10554.21763,84480.90695,4,599,2744,78,3.12,13,25.81769943,,,,,,NA,volcanic,igneous,4.7,13.88,14.02,2.39,5.94,3.27,1.28,3.07,0.07,0.15,65.54788264,6.17,0,0,3.45,90.38,65.35,0.95,234.06,16.99,0,7.09,139.02,0.81,41.63,7.37,33.5,5.27,0.62,0,0,2.64,50.59,796.22,67.42,4.85,182.88,2.5360529,34,1.578978705,2.202271555,3.511545439,5.787918451,2.564949358,3.605551276,4.934617808,11.79067428,1.238374231,1.857417562,4.17975744,8.083934686,1.121677562,1.752141547,0.970778917,1.624807681,0.246860078,1.13137085,1.662030363,2.295648057,5.2088302,13.5233132,7.917171989,52.38320342,4.21094171,8.210968274,2.832624936,4.121892769,3.251060281,5.081112027,0.043965471,2.49208743
45,Fish Creek Site 1,"Twitchell Fire, 2010",Murphy et al. 2019,2017,38.501214,-112.453485,NA,2.21,11.29,82.8,NA,,,,NA,3.41,,,,,,,,,,NA,107.5125165,860.5805959,6888.490628,196.1069829,1569.732248,12564.87298,0.24,322,2341,73,0.18,73,26.70560074,,,,,,NA,sandstone,sedimentary,4.55,13.5,14.02,2.39,5.94,3.27,1.28,3.07,0.07,0.15,65.54788264,6.17,0,0,3.45,90.38,65.35,0.95,234.06,16.99,0,7.09,139.02,0.81,41.63,7.37,33.5,5.27,0.62,0,0,2.64,50.59,796.22,67.42,4.85,182.88,1.14404637,35,1.578978705,2.202271555,3.511545439,5.787918451,4.290459441,8.544003745,4.934617808,11.79067428,1.238374231,1.857417562,4.17975744,8.083934686,1.121677562,1.752141547,0.970778917,1.624807681,0.246860078,1.13137085,1.662030363,2.295648057,5.2088302,13.5233132,7.758333468,48.38388161,4.21094171,8.210968274,2.832624936,4.121892769,3.284873309,5.167746195,-0.01392913,1.1579755
46,Fish Creek Site 2,"Twitchell Fire, 2010",Murphy et al. 2019,2017,38.504078,-112.456199,NA,1.21,4.1,12.87,NA,,,,NA,4.84,,,,,,,,,,NA,727.9719159,5827.028571,46642.26906,1326.636229,10619.01845,84999.60311,1.15,756,2526,98,1.13,71,25.60759926,,,,,,NA,volcanic,igneous,4.56,13.5,14.02,2.39,5.94,3.27,1.28,3.07,0.07,0.15,65.54788264,6.17,0,0,3.45,90.38,65.35,0.95,234.06,16.99,0,7.09,139.02,0.81,41.63,7.37,33.5,5.27,0.62,0,0,2.64,50.59,796.22,67.42,4.85,182.88,0.275007048,36,1.578978705,2.202271555,3.511545439,5.787918451,4.262679877,8.426149773,4.934617808,11.79067428,1.238374231,1.857417562,4.17975744,8.083934686,1.121677562,1.752141547,0.970778917,1.624807681,0.246860078,1.13137085,1.662030363,2.295648057,5.2088302,13.5233132,7.834392303,50.25932749,4.21094171,8.210968274,2.832624936,4.121892769,3.242889154,5.060395168,0.057664814,0.217342233
47,Fish Creek Site 3,"Twitchell Fire, 2010",Murphy et al. 2019,2017,38.504983,-112.456048,NA,0.76,5.76,21.8,NA,,,,NA,4.2,,,,,,,,,,NA,218.0388245,1745.284993,13970.07947,395.3156732,3164.292017,25328.47709,0.75,387,2345,92,0.69,61,23.19199944,,,,,,NA,volcanic,igneous,4.43,13.18,14.02,2.39,5.92,3.27,1.28,3.07,0.07,0.15,65.58335426,5.95,0,0,3.32,90.73,65.41,0.93,235.01,17.64,0,6.98,138.66,0.8,40.91,7.11,32.91,5.09,0.6,0,0,2.57,51.72,790.36,67.44,4.91,182.88,-0.395928676,37,1.591273942,2.215851981,3.493776563,5.736723804,4.110873864,7.810249676,4.932024894,11.77539808,1.199964783,1.822086716,4.180675152,8.087644898,1.121677562,1.752141547,0.943905899,1.603121954,0.246860078,1.13137085,1.627277831,2.256102835,5.2088302,13.5233132,7.760040681,48.42520005,4.211238314,8.212186067,2.870169051,4.2,3.143807368,4.815807247,0.258625768,-0.654554444
48,Fish Creek Site 4,"Twitchell Fire, 2010",Murphy et al. 2019,2017,38.51433,-112.459064,NA,1.96,3.98,36.1,NA,,,,NA,4.13,,,,,,,,,,NA,908.8478246,7274.84416,58231.26394,1658.262616,13273.51156,106247.4107,2.1,795,2570,77,1.62,51,17.15390015,,,,,,NA,volcanic,igneous,4.57,13.54,13.77,2.3,5.94,3.2,1.26,2.95,0.07,0.15,65.63661055,5.49,0,0,7.05,87.46,64.55,1.03,238.6,18.47,0,6.95,136.56,0.81,39.58,6.56,32.37,4.72,0.55,0,0,2.37,53.41,773.05,67.48,5.08,182.88,0.970853654,38,1.625311262,2.253885534,3.477232068,5.689463947,3.931825633,7.141428429,4.916764079,11.68588893,1.953027617,2.65518361,4.167440117,8.034301463,1.08180517,1.717556404,0.862889955,1.539480432,0.231111721,1.122497216,1.5518088,2.172556098,5.2088302,13.5233132,7.851661178,50.69516742,4.211831258,8.214621111,2.916147794,4.297673789,2.842225562,4.141726711,0.695929841,0.274923813
49,Fish Creek Site 5,"Twitchell Fire, 2010",Murphy et al. 2019,2017,38.519456,-112.456953,NA,2.81,13,49.32,NA,,,,NA,2.97,,,,,,,,,,NA,773.1647127,6188.772908,49537.84036,1391.777031,11140.43598,89173.27352,2.3,709,2448,87,2,40,16.09499931,,,,,,NA,alluvium,sedimentary,4.2,12.65,13.48,2.23,5.84,3.12,1.24,2.82,0.07,0.15,65.89228995,5.19,0,0,12.17,82.65,65.19,1.04,240.67,18.75,0,7.02,134.55,0.83,38.83,6.2,32.15,4.63,0.52,0,0,2.24,54.24,759.73,67.51,5.2,182.88,1.49057013,39,1.648658626,2.28035085,3.470412451,5.670097001,3.688879454,6.32455532,4.901935877,11.59956896,2.498973907,3.488552709,4.177306083,8.07403245,1.036736885,1.679285562,0.806475866,1.496662955,0.21511138,1.113552873,1.532556868,2.151743479,5.2088302,13.5233132,7.803026644,49.47726751,4.212275735,8.216446921,2.931193752,4.330127019,2.778508622,4.011857339,0.770109866,0.720460264
50,Fish Creek Site 6,"Twitchell Fire, 2010",Murphy et al. 2019,2017,38.534683,-112.45243,NA,1.65,4,12.94,NA,,,,NA,3.46,,,,,,,,,,NA,480.7279743,3847.972126,30800.97327,861.1294148,6892.883632,55173.87276,2.88,506,2336,85,2.45,21,12.98200035,,,,,,NA,sandstone,sedimentary,4.09,12.37,7.8,1.53,2.54,1.63,1.12,0.64,0.01,0.12,72.09735201,0,0,0,100,0,99.45,0.11,310.28,23.64,0,8.28,100.01,1.17,25.77,0,6.33,0,0,0,0,0,93.67,509.48,68,7.32,182.88,0.722466025,40,1.990610328,2.705549852,1.845300236,2.515949125,3.044522438,4.582575695,4.605270181,10.00049999,4.605170186,10,4.599655005,9.972462083,-0.446287103,0.8,,0,0.113328685,1.058300524,,0,5.2088302,13.5233132,7.756195344,48.33218389,4.219507705,8.246211251,3.162940193,4.862098313,2.56356381,3.603054309,1.683835622,-0.961369598
51,Fish Creek Site 7,"Twitchell Fire, 2010",Murphy et al. 2019,2017,38.540412,-112.448812,NA,1.18,3.97,13,NA,,,,NA,,,,,,,,,,,NA,388.4484018,3109.323157,24888.48056,696.4429745,5574.65614,44622.16178,3.1,463,2258,72,2.23,19,26.46,,,,,,NA,sandstone,sedimentary,3.56,11.45,14.77,4.14,4.64,3.28,2.2,3.47,0.01,0.19,63.75778808,0,0,0,0,100,142.33,2.42,238.33,12.74,0,10.15,43.09,0.26,64.36,0.09,1.27,0,0,0,0,0.05,97.9,487.95,17,18.47,182.88,0.23878686,41,2.916147794,4.297673789,0.239016901,1.126942767,2.944438979,4.358898944,3.763290952,6.564297373,,0,4.958148305,11.93021375,1.244154594,1.862793601,-2.995732274,0.223606798,0.78845736,1.483239697,,0,5.2088302,13.5233132,7.722234745,47.51841748,2.833213344,4.123105626,2.54474665,3.56931366,3.275634159,5.14392846,1.652133388,-1.413346528
55,Big Tujunga 2009,"""2009 Station and",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesu,"Kean et al., 2011",2009,34.287191,-118.233604,,0.078,0,10.39,,,NA,,,7.21,NA,,,,,,NA,,,,1321.496986,10,84670.32401,2558.407137,20478.6904,163921.0407,1.37,977,1060,97,1.33,89,35.4,,,,NA,NA,,,ig,5.1,15.62,15.65,3.89,3.8,3.05,1.78,3.62,0.01,0.17,65.06386566,0,0,0,0,100,152.71,0.02,189.08,18.21,0,6.07,45.2,1.01,32.05,0,39.24,0,0,0,0,2.73,57.59,755.06,121,15.74,182.88,-3.680382066,,,43,,,,0,,,3.467297183,5.661271942,5.028540698,12.35758876,5.242170206,13.75063635,-1.771956842,0.412310563,6.626797216,27.47835512,-4.605170186,0.1,,0,,,0.285178942,1.15325626,5.2088302,13.5233132,1.803358605,2.463736999,,,,
56,Big Tujunga 2010,"""2009 Station and",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesu,"Kean et al., 2011",2010,34.287191,-118.233604,,0.26,13,38.58,,,NA,,,7.56,NA,,,,,,NA,,,,1321.496986,10,84670.32401,2558.407137,20478.6904,163921.0407,1.37,977,1060,97,1.33,89,35.6,,,,NA,NA,,,ig,5.1,15.62,13.27,2.74,12.59,2.63,1.33,2.5,0.34,0.15,53.62882802,45.23,0,0,0,54.77,95.51,51.26,307.27,18.65,0,8.02,72.78,0.62,38.75,0.12,3.74,0,0.6,0,0,0.12,47.48,673.92,121,16.68,153.48,-1.943416472,,,45,,,-0.510825624,0.774596669,,,3.657130756,6.224949799,4.559230954,9.772921774,5.72772684,17.52911863,-1.897119985,0.387298335,6.51311141,25.95996918,-1.078809661,0.58309519,,0,,,0.285178942,1.15325626,5.033570265,12.38870453,2.081938422,2.831960452,,,,
57,Dunsmore 1,"""2009 Station and",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesu,"Kean et al., 2011",2010,34.259485,-118.24203,,0.24,16,45.42,,,NA,,,7.69,NA,,,,,,NA,,,,248.1050446,19,15896.46797,463.4012526,3709.280922,29690.82383,0.475,559,1268,43,0.2,92,35.6,,,,NA,NA,,,ig,5,14.73,13.27,2.74,12.59,2.63,1.33,2.5,0.34,0.15,53.62882802,45.23,0,0,0,54.77,95.51,51.26,307.27,18.65,0,8.02,72.78,0.62,38.75,0.12,3.74,0,0.6,0,0,0.12,47.48,673.92,121,16.68,153.48,-2.058893689,,,47,,,-0.510825624,0.774596669,,,3.657130756,6.224949799,4.559230954,9.772921774,5.72772684,17.52911863,-1.897119985,0.387298335,6.51311141,25.95996918,-1.078809661,0.58309519,,0,,,-1.609437912,0.447213596,5.033570265,12.38870453,2.081938422,2.831960452,,,,
58,Dunsmore 2,"""2009 Station and",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesu,"Kean et al., 2011",2010,34.252883,-118.246537,,0.21,12,43.3,,,NA,,,,NA,,,,,,NA,,,,75.16414405,60,4815.881154,140.3887557,1123.737431,8994.921335,0.0795,332,983,66,0.05,92,37.34579849,,,,NA,NA,,,ig,5,14.73,8.44,10.53,6.57,1.79,2.69,0.85,0.18,0.16,46.70525231,12.05,0,0.71,74.56,4.92,63.95,32.88,450.21,18.06,0.01,8.37,102.15,0.42,44.71,1.46,10.65,0.9,7.43,2.48,1.35,0.21,72.98,348.4,151.83,4.08,175.64,-2.251538767,,,49,,,2.005525859,2.725802634,,,3.80019719,6.686553671,4.158101528,7.996874389,6.109714141,21.21815261,-1.832581464,0.4,5.853351245,18.66547615,-1.714798428,0.424264069,0.90825856,1.574801575,,,-2.995732274,0.223606798,5.168436446,13.25292421,2.124653885,2.893095228,,,,
