Site,Lat,Long,aspect,subD16,subD50,subD84,D84B,surD16,surD50,surD84,subD50range,sub_var,sur_var,obs_vol,est_perc_loss,initial_vol_est,DF_size,vol_lpred_error,vol_upred_error,obs_vol_low,obs_vol_high,Gartner.2008,G14_volmin_2yr,G14_vol_2yr,G14_volmax_2yr,G14_volmin_100yr,G14_vol_100yr,G14_volmax_100yr,cat_area,relief,mean_cat_elev,himod_perc,himod_area,slope23_perc,avg_slope,sort_unsort,clast_matrix,strat,boulder_perc,GSD_Q,Vol_Q,dom_lith,Lith_type,X2yr_storm,X100yr_storm,Al2O3Ws,CaOWs,Fe2O3Ws,K2OWs,MgOWs,Na2OWs,NWs,P2O5Ws,SiO2Ws,PctAlluvCoastWs,PctEolFineWs,PctCarbResidWs,PctNonCarbResidWs,PctSilicicWs,CompStrgthWs,HydrlCondWs,AvgWetIndxWs,ClayWs,AgKffactWs,PermWs,RckdepWs,OmWs,SandWs,PctBl2011Ws,PctConif2011Ws,PctDecid2011Ws,PctGrs2011Ws,PctHay2011Ws,PctHbWet2011Ws,PctMxFst2011Ws,PctShrb2011Ws,Precip8110Ws,RunoffWs,Tmean8110Ws,WtDepWs,subD50_phi,order,ln_comp,sqrt_comp,ln_clay,sqrt_clay,inv_sqrt_clay,inv_ln_clay,negsqrt_clay,ln_tmean,sqrt_tmean,inv_sqrt_tmean,inv_ln_tmean,ln_p2o5,sqrt_p2o5,ln_runoff,sqrt_runoff,inv_sqrt_runoff,inv_runoff,negsqrt_runoff,inv_ln_runoff,cuberoot_runoff,ln_perm,sqrt_perm,ln_wet,sqrt_wet,invsqrt_wet,invln_wet,ln_decid,sqrt_decid,ln_sand,sqrt_sand,ln_precip,sqrt_precip,inv_precip,ln_n,sqrt_n,ln_rckdep,sqrt_rckdep,ln_alluv,sqrt_alluv,ln_hb,sqrt_hb,ln_avgslope,sqrt_avgslope,pred,resid
Dollar Ridge 3,40.118462,-110.829193,NA,2.41,5.17,7.93,370,2,24.69,54.98,NA,1.72,4.78,60,45,87,small,-25,35,65.25,117.45,NA,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.07,279,2028,0,0,0,26.57410049,unsorted,matrix,not stratified,3,3,2,sandstone,sedimentary,3.52,10,9.47,6.2,4.16,1.96,3.02,1.1,0.05,0.16,58.28841377,1.97,0,0,85.04,0,67.93,0.21,424.18,23.72,0,5.33,115.31,1.16,33.64,0.6,19.49,37.16,0.14,0.01,0.03,1.21,31.09,643.03,59.3,4.41,179.13,2.3701642805,11,4.2184777632,8.2419657849,3.1663185741,4.8703182648,0.2053253906,0.3158241903,-4.870318265,1.4838746895,2.1,0.4761904762,0.6739113532,-1.832581464,0.4,4.082609306,7.7006493233,0.1298591791,0.0168634064,-7.700649323,0.2449413904,3.8995835628,1.6733512382,2.3086792761,6.0501578934,20.595630605,0.0485539879,0.1652849426,3.6152329139,6.0959002617,3.5157158351,5.8,6.4661913794,25.358036202,0.0015551374,-2.995732274,0.2236067977,4.7476241538,10.738249392,0.6780335427,1.4035668848,-3.506557897,0.1732050808,3.2799370757,5.155007322,3.4960404184,-1.125876138
Dollar Ridge 4,40.12064,-110.790771,NA,2.7,7.5,46.98,628,10.33,19.3,36.28,6.92,4.12,1.81,650,60,1040,small,-25,35,780,1404,NA,157.3765065,1259.715354,10083.35239,250.9352514,2008.603419,16077.80363,0.52,464,2137,35,0.18,70,24.20999908,sorted,matrix,not stratified,10,4,3,sandstone,sedimentary,3.52,9.44,9.25,7.17,4.02,1.92,3.06,1.09,0.05,0.16,56.80742655,1.65,0,0,87.49,0,68.94,0.19,395.36,23.6,0,5.2,113.32,1.17,33.53,1.66,25.02,32.88,0.13,0.01,0.02,1.46,30.01,629.54,59.07,4.49,179.72,2.9068905956,12,4.2332365611,8.3030115019,3.161246712,4.8579831206,0.2058467424,0.3163308945,-4.857983121,1.5018527018,2.11896201,0.4719291782,0.6658442594,-1.832581464,0.4,4.0787231813,7.685701009,0.1301117489,0.0169290672,-7.685701009,0.2451747656,3.8945354105,1.6486586256,2.2803508502,5.9797967422,19.883661635,0.0502925476,0.1672297643,3.4928645702,5.7341084747,3.5124405605,5.7905094767,6.444989394,25.090635703,0.0015884614,-2.995732274,0.2236067977,4.730215675,10.645186706,0.5007752879,1.2845232579,-3.912023005,0.1414213562,3.1867657329,4.9203657466,3.4167232361,-0.50983264
Dollar Ridge 5,40.121447,-110.834881,NA,3.43,20.56,60.11,720,10.58,29.09,61.65,42.34,4.13,2.54,3000,20,3600,small,-25,35,2700,4860,NA,253.862822,2032.037067,16265.37754,435.1947662,3483.502978,27883.5913,2.77,607,2295,10,0.28,41,24.21559906,sorted,matrix,not stratified,5,4,4,sandstone,sedimentary,2.83,9.39,9.47,6.21,4.16,1.96,3.02,1.1,0.05,0.16,58.27125284,1.99,0,0,84.9,0,67.91,0.22,425.92,23.75,0,5.33,115.44,1.15,33.62,0.57,18.94,37.45,0.14,0.01,0.03,1.22,31.27,644.79,59.31,4.39,179.1,4.3617683594,13,4.2181832991,8.2407523928,3.1675825305,4.8733971724,0.2051956704,0.3156981674,-4.873397172,1.4793292271,2.095232684,0.4772739599,0.6759820476,-1.832581464,0.4,4.0827779259,7.7012985918,0.1298482312,0.0168605631,-7.701298592,0.2449312743,3.8998027514,1.6733512382,2.3086792761,6.0542515352,20.637829343,0.0484547083,0.1651731835,3.62300671,6.1196405123,3.515121128,5.7982756057,6.4689246824,25.392715491,0.0015508925,-2.995732274,0.2236067977,4.7487509145,10.744300815,0.6881346387,1.410673598,-3.506557897,0.1732050808,3.1869970148,4.920934775,3.4966162734,0.865152086
Lake Fork 1,39.962445,-111.458642,NA,6.3,23.09,58.11,1310,2,21.34,52.27,23.54,3.21,4.71,11000,25,13750,medium,-28,30,9900,17875,NA,1753.876563,14038.85043,112373.5418,3075.094964,24614.50204,197026.0165,9.06,916,2120,75,6.8,58,21.99250031,sorted,matrix,not stratified,20,4,4,sandstone,sedimentary,3.27,10.55,4.69,19.87,2.32,1.41,5.83,0.34,0.05,0.11,36.00748314,0,0,0,100,0,76.57,0.21,244.16,34.03,0,1.76,145.16,1.07,23.47,0,38.97,55.89,0,0,0,0.27,4.87,575,248,7.38,182.88,4.529196268,14,4.3382053551,8.7504285609,3.5272424885,5.8335238064,0.171422974,0.2835075851,-5.833523806,1.9987736386,2.7166155414,0.3681050869,0.5003067785,-2.207274913,0.331662479,5.5134287462,15.748015748,0.0635000635,0.0040322581,-15.74801575,0.1813753376,6.2827613048,0.5653138091,1.3266499161,5.4978237481,15.625619988,0.0639974606,0.1818901525,4.0233854733,7.4759614766,3.1557230099,4.8445846055,6.3543700408,23.979157617,0.0017391304,-2.995732274,0.2236067977,4.9778365823,12.048236385,,0,,0,3.0907015002,4.689616222,4.1327435966,0.3964526714
Lake Fork 2,39.966936,-111.456697,NA,3.4,16,58.48,620,12.58,33.71,68,25.06,4.1,2.43,830,40,1162,small,-25,35,871.5,1568.7,NA,100.8758689,807.4577565,6463.270511,176.7178271,1414.532354,11322.58026,0.26,373,1861,50,0.13,46,20.71120071,unsorted,matrix,not stratified,3,3,2,sandstone,sedimentary,3.2,10.41,5.93,15.9,2.78,1.63,5.05,0.51,0.06,0.12,42.17464891,1.62,0,0,95.76,2.62,72.05,0.3,249.06,30.96,0,2.26,142.02,1.42,26.17,0.06,43.27,49.68,0,0.05,0,0.52,6.1,612.78,246.52,6.4,182.88,4,15,4.2773603224,8.4882271412,3.4326960487,5.5641710973,0.1797212887,0.2913162091,-5.564171097,1.8562979904,2.5298221281,0.3952847075,0.5387066113,-2.120263536,0.3464101615,5.5074431261,15.700955385,0.0636903918,0.004056466,-15.70095538,0.1815724606,6.2702383944,0.8153648133,1.5033296378,5.5176938313,15.781634896,0.0633647912,0.1812351375,3.9056024376,7.0484040747,3.2646137165,5.115662225,6.4180059808,24.754393549,0.001631907,-2.813410717,0.2449489743,4.9559678928,11.91721444,0.4824261492,1.2727922061,,0,3.030674651,4.5509560215,3.9701177212,0.0298822788
POCR Blind Canyon 1,39.941927,-111.523092,NA,1.44,13.05,33.05,724,9.74,18.2,30.31,9.82,4.52,1.64,520,60,832,small,-25,35,624,1123.2,NA,85.48833074,684.2886859,5477.367515,148.9647865,1192.384003,9544.400685,0.52,319,1874,27,0.14,40,24.81489944,unsorted,matrix,not stratified,3,3,NA,dacite,igneous,3.16,10.25,5,21.15,2.37,1.46,5.58,0.55,0.05,0.11,34.67663335,1.12,0,0,91.02,7.87,79.49,0.18,257.71,34.02,0,1.76,145.22,1.07,23.45,0.02,36.99,49.27,0,0,0,1.16,12.35,586.85,248,6.97,182.88,3.7059779017,16,4.3756312276,8.9157164603,3.526948587,5.8326666286,0.1714481666,0.2835312099,-5.832666629,1.9416152248,2.6400757565,0.3787770095,0.5150351044,-2.207274913,0.331662479,5.5134287462,15.748015748,0.0635000635,0.0040322581,-15.74801575,0.1813753376,6.2827613048,0.5653138091,1.3266499161,5.5518349217,16.05334856,0.0622922997,0.1801206293,3.8973153766,7.0192592202,3.1548704949,4.8425200051,6.3747692505,24.2249871,0.001704013,-2.995732274,0.2236067977,4.978249834,12.050726119,0.1133286853,1.0583005244,,0,3.2114442566,4.9814555544,4.0342431872,-0.328265286
POCR Cox Canyon,39.892185,-111.536011,NA,0.047,17.01,40.3,505,9.2,25.31,45.3,14.1,9.74,2.3,2600,5,2730,small,-25,35,2047.5,3685.5,NA,427.8025739,3424.332404,27409.96228,749.7139723,6001.062186,48035.31572,3.24,579,2115,39,1.26,65,21.78660011,sorted,matrix,not stratified,35,3,4,sandstone,sedimentary,3.28,10.56,6.09,18.95,2.94,1.67,5.03,0.84,0.05,0.11,38.11168222,6.79,0,0,81.86,11.35,77.33,0.38,250.31,33.63,0,1.99,145.49,1.08,23.73,0,52.73,7.35,0,0.02,0,0.11,38.92,507.58,248,7.27,182.88,4.0883112359,17,4.3480819786,8.793747779,3.5154185258,5.799137867,0.1724394251,0.284461151,-5.799137867,1.9837562915,2.6962937525,0.3708794708,0.5040941794,-2.207274913,0.331662479,5.5134287462,15.748015748,0.0635000635,0.0040322581,-15.74801575,0.1813753376,6.2827613048,0.6881346387,1.410673598,5.5227001497,15.821188325,0.0632063774,0.1810708481,1.9947003132,2.7110883423,3.1667400704,4.8713447835,6.229654334,22.529536169,0.0019701328,-2.995732274,0.2236067977,4.9801073557,12.061923561,1.9154509416,2.6057628442,,0,3.081295107,4.6676118208,4.0553551957,0.0329560402
POCR Thistle Creek,39.953434,-111.529686,NA,2.97,17.47,49.11,490,18.2,39.7,81.67,14.66,4.05,2.17,230,5,241.5,small,-25,35,181.125,326.025,NA,37.24853428,298.1547347,2386.570306,64.91466924,519.6074521,4159.181698,0.28,255,1744,10,0.03,40,28.37339973,sorted,matrix,not stratified,10,4,5,dacite,igneous,3.12,10.18,8.68,11.78,4.72,2.08,3.22,1.34,0.09,0.14,49.19098448,16.81,0,0,60.87,22.32,69.42,4.12,307.32,28.56,0.01,3.34,137.35,1.28,26.97,0.09,27.28,38.55,0,2.35,0,0.32,30.16,556.44,246.1,6.61,182.88,4.1268077031,18,4.2401750104,8.3318665376,3.3520071375,5.3441556864,0.1871202971,0.2983287204,-5.344155686,1.8885836539,2.5709920264,0.3889549208,0.5294973288,-1.966112856,0.3741657387,5.5057379574,15.687574701,0.0637447164,0.0040633889,-15.6875747,0.181628695,6.266675469,1.205970807,1.8275666882,5.72788955,17.530544772,0.0570432929,0.174584372,3.6519561,6.2088646305,3.2947251372,5.193264869,6.3215593482,23.588980478,0.001797139,-2.407945609,0.3,4.9225324125,11.719641633,2.8219739474,4.1,,0,3.345452077,5.3266687273,4.1099960145,0.0168116887
Seeley 1,39.541237,-111.161819,NA,0.05,32,93,855,26.36,62,119.43,0,10.86,2.18,490,35,661.5,small,-25,35,496.125,893.025,NA,169.4400006,1356.277218,10856.27883,295.8906087,2368.447179,18958.16182,0.39,520,2721,36,0.14,81,21.20680046,unsorted,matrix,not stratified,10,4,3,sandstone,sedimentary,3.55,10.98,4.23,15.83,3.04,1.33,6.09,0.24,0.12,0.12,38.76013599,0,0,0,100,0,58.61,0.12,297.03,24.65,0,4.2,110.26,1.22,30.12,0.15,44.81,36.09,0.32,0,0,3.82,12.24,689.59,24.68,3.01,182.38,5,19,4.0709053305,7.6557168182,3.2047769005,4.9648766349,0.2014148736,0.3120342011,-4.964876635,1.1019400788,1.7349351573,0.5763904177,0.9074903611,-2.120263536,0.3464101615,3.205993199,4.9678969393,0.2012924206,0.0405186386,-4.967896939,0.3119158208,2.9114883173,1.4350845253,2.0493901532,5.6938331438,17.234558306,0.0580229549,0.1756286099,3.5860158187,6.0074953184,3.4051894029,5.4881690936,6.5360972181,26.260045697,0.001450137,-2.120263536,0.3464101615,4.7028412132,10.50047618,,0,,0,3.0543219067,4.6050841968,3.065348889,1.934651111
Shingle 1,37.43088175,-112.6007859,NA,1.02,14.21,43.29,570,11.82,26.4,50.61,1.06,5.41,2.1,930,10,1023,small,-25,35,767.25,1381.05,NA,92.9027319,743.6370296,5952.419487,174.1280266,1393.802376,11156.64779,0.47,290,2326,44,0.21,42,17.44420052,unsorted,matrix,not stratified,10,4,4,Limestone,sedimentary,3.65,12.4,5.16,23.87,2.53,1.43,3.9,0.42,0.05,0.11,32.93591321,0.2,0,0,99.8,0,70.79,0.16,252.67,27.44,0,3.54,88.75,0.97,27.54,3.55,91.99,2.93,0,0,0,0.18,1.27,507.73,38.01,6.25,182.88,3.8288346495,20,4.2597177478,8.4136793378,3.3120018029,5.2383203415,0.1909008871,0.3019322028,-5.238320341,1.8325814637,2.5,0.4,0.545678334,-2.207274913,0.331662479,3.637849283,6.1652250567,0.1622000804,0.0263088661,-6.165225057,0.2748876939,3.3622702911,1.2641267271,1.8814887722,5.5320842895,15.895596875,0.0629105033,0.1807636955,1.075002423,1.7117242769,3.3156394933,5.2478567054,6.2299498102,22.532864887,0.0019695507,-2.995732274,0.2236067977,4.4858234284,9.4207218407,-1.609437912,0.4472135955,,0,2.859007245,4.1766254943,3.6227326807,0.2061019687
Tie Fork 1,39.982624,-111.212959,NA,0.76,5.21,19.23,800,7.62,17.74,37.65,1.2,4.66,2.3,600,10,660,small,-25,35,495,891,NA,173.8804215,1391.820429,11140.78336,306.5510659,2453.778478,19641.19355,1.35,442,2224,23,0.31,53,22.69799995,unsorted,matrix,not stratified,5,4,3,shale,sedimentary,3.28,10.66,7.13,17.74,3.15,1.59,3.37,1.04,0.11,0.19,39.85138772,2.2,0,0,97.8,0,74.37,0.36,233.67,21.63,0,4.96,103.34,0.55,39.45,0.48,49.55,37.75,0,0,0,0.09,12.13,535.9,244.67,5.63,182.88,2.3812833725,21,4.3090526347,8.6238042649,3.07408124,4.6508063817,0.2150164763,0.3253004465,-4.650806382,1.7281094422,2.3727621035,0.421449752,0.5786670541,-1.660731207,0.4358898944,5.4999103638,15.641930827,0.0639307264,0.0040871378,-15.64193083,0.181821145,6.2545140723,1.6014057407,2.2271057451,5.4539098636,15.286268348,0.0654181895,0.1833546987,3.6309854757,6.1441028637,3.6750340473,6.280923499,6.2839475765,23.149514034,0.0018660198,-2.207274913,0.331662479,4.6380245229,10.165628362,0.7884573604,1.4832396974,,0,3.1222768127,4.7642418022,2.8099284846,-0.428645112
Tie Fork 2,39.998112,-111.215523,NA,1.67,11.36,46.41,884,7.77,26.13,50.66,5.72,4.8,2.7,2200,15,2530,small,-25,35,1897.5,3415.5,NA,80.8419567,647.0969293,5179.667256,142.5244256,1140.832335,9131.756958,0.26,339,2256,36,0.09,47,27.48920059,unsorted,matrix,not stratified,10,4,4,shale,sedimentary,3.33,10.75,7.19,17.55,3.22,1.59,3.35,1.04,0.12,0.19,40.09374353,5.27,0,0,94.73,0,73.73,0.4,237.14,21.53,0,5,103.28,0.53,39.78,0.21,41.85,48.92,0,0,0,0.06,8.97,556.23,246.53,5.6,182.88,3.5058909297,22,4.300409772,8.5866174947,3.0694473114,4.6400431032,0.2155152394,0.3257915509,-4.640043103,1.7227665977,2.3664319132,0.4225771274,0.5804616837,-1.660731207,0.4358898944,5.5074836899,15.701273834,0.0636891,0.0040563015,-15.70127383,0.1815711233,6.2703231767,1.6094379124,2.2360679775,5.468650684,15.399350636,0.0649378031,0.1828604637,3.8901863108,6.99428338,3.6833642734,6.3071388125,6.3211818778,23.584528827,0.0017978174,-2.120263536,0.3464101615,4.6374437465,10.162676813,1.6620303626,2.2956480566,,0,3.3137932217,5.2430144564,2.8353444123,0.6705465174
Trailmountain 1,39.424023,-111.156711,NA,0.02,4.27,47.35,790,2,4.3,50.2,8.9,11.21,4.65,1700,40,2380,small,-25,35,1785,3213,NA,199.6889158,1598.403719,12794.37288,346.1198819,2770.505835,22176.42783,1.32,569,2678,12,0.16,76,33.61119843,unsorted,matrix,stratified,10,4,3,sandstone,sedimentary,3.4,10.59,4.7,15.54,2.92,1.43,5.81,0.3,0.1,0.13,40.16686016,0,0,0,100,0,61.28,0.11,235.61,21.41,0,7.81,118.6,1.09,33.22,0.12,66.64,22.51,0,0,0,9.13,1.59,684.75,24,4.05,182.88,2.0942360698,23,4.1154535254,7.8281543163,3.0638581026,4.6270941205,0.2161183615,0.3263858725,-4.627094121,1.3987168811,2.0124611797,0.496903995,0.7149409673,-2.040220829,0.3605551275,3.1780538303,4.8989794856,0.2041241452,0.0416666667,-4.898979486,0.3146579804,2.8844991406,2.0554049639,2.7946377225,5.4621778957,15.349592828,0.0651483079,0.183077157,3.1139596549,4.7444704657,3.5031521042,5.7636793804,6.5290538081,26.167728216,0.001460387,-2.302585093,0.316227766,4.7757564866,10.890362712,,0,,0,3.514859298,5.7975165744,1.964814649,0.1294214208
Trailmountain 2,39.423344,-111.140594,NA,0.016,0.76,29.24,955,2,14.24,45,4.42,10.84,4.49,180,40,252,small,-25,35,189,340.2,NA,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.1,469,2506,0,0,95,31.01519966,unsorted,matrix,stratified,15,4,3,sandstone,sedimentary,3.26,10.28,4.7,15.54,2.92,1.43,5.81,0.3,0.1,0.13,40.16686016,0,0,0,100,0,61.28,0.11,235.61,21.41,0,7.81,118.6,1.09,33.22,0.12,66.64,22.51,0,0,0,9.13,1.59,684.75,24,4.05,182.88,-0.395928676,24,4.1154535254,7.8281543163,3.0638581026,4.6270941205,0.2161183615,0.3263858725,-4.627094121,1.3987168811,2.0124611797,0.496903995,0.7149409673,-2.040220829,0.3605551275,3.1780538303,4.8989794856,0.2041241452,0.0416666667,-4.898979486,0.3146579804,2.8844991406,2.0554049639,2.7946377225,5.4621778957,15.349592828,0.0651483079,0.183077157,3.1139596549,4.7444704657,3.5031521042,5.7636793804,6.5290538081,26.167728216,0.001460387,-2.302585093,0.316227766,4.7757564866,10.890362712,,0,,0,3.4344773959,5.5691291653,1.964814649,-2.360743325
Trailmountain 3,39.404434,-111.137222,NA,0.64,13.68,52.17,1520,2,18.44,37.44,0.35,6.35,4.23,1370,15,1575.5,small,-25,35,1181.625,2126.925,NA,234.1406675,1874.171694,15001.74907,404.0137069,3233.915158,25885.77335,0.54,586,2560,42,0.23,83,28.17790031,unsorted,matrix,not stratified,10,4,4,sandstone,sedimentary,3.25,10.25,4.91,15.81,2.83,1.48,5.72,0.32,0.09,0.13,40.33012336,0,0,0,100,0,63.35,0.11,240.92,24.96,0,7.17,118.5,1.02,31.61,0.21,78.92,9.96,0.22,0,0,5.38,5.24,715.32,24,3.99,178.86,3.7739963251,25,4.1486749068,7.9592713234,3.2172745435,4.9959983987,0.2001601923,0.3108220907,-4.995998399,1.3837912309,1.9974984355,0.5006261743,0.7226523609,-2.040220829,0.3605551275,3.1780538303,4.8989794856,0.2041241452,0.0416666667,-4.898979486,0.3146579804,2.8844991406,1.9699056546,2.6776855678,5.4844649282,15.521597856,0.0644263567,0.1823331926,2.2985770716,3.1559467676,3.4534735262,5.6222771187,6.572729995,26.745466906,0.0013979757,-2.407945609,0.3,4.7749129606,10.885770529,,0,,0,3.3385379938,5.3082860049,2.0962972453,1.6776990799
Trailmountain 4,39.461922,-111.180023,NA,0.021,0.79,20.4,530,2,2,39.98,1.69,9.92,4.32,210,30,273,small,-25,35,204.75,368.55,NA,155.9197145,1248.054508,9990.013509,270.9629368,2168.914404,17361.00793,0.28,501,2782,47,0.13,81,22.27659988,unsorted,matrix,not stratified,2,5,2,sandstone,sedimentary,3.5,10.81,4.79,15.46,2.91,1.46,5.81,0.3,0.1,0.13,40.37873167,0,0,0,100,0,61.58,0.11,237.33,22.74,0,7.13,119.51,1.17,31.47,0.15,45.15,39.36,0.12,0,0,6.3,8.92,751.46,24,3.56,182.16,-0.340075442,26,4.1203371425,7.8472925267,3.1241254883,4.768647607,0.209703061,0.3200895751,-4.768647607,1.2697605449,1.8867962264,0.52999894,0.7875500653,-2.040220829,0.3605551275,3.1780538303,4.8989794856,0.2041241452,0.0416666667,-4.898979486,0.3146579804,2.8844991406,1.9643112344,2.6702059846,5.4694515777,15.405518492,0.0649118042,0.1828336874,3.6727500722,6.2737548565,3.4490347111,5.6098128311,6.6220179809,27.412770746,0.0013307428,-2.302585093,0.316227766,4.7834000499,10.932062934,,0,,0,3.1035367948,4.7198093055,1.9852036307,-2.325279072
West Valley 1,37.450813,-113.437439,NA,0.038,2.22,6.69,413,2,4.85,14.12,0.24,7.46,2.82,50,5,52.5,small,-25,35,39.375,70.875,NA,124.8027162,998.9794624,7996.300052,229.7934307,1839.374373,14723.21499,0.34,326,2371,67,0.23,49,18.79859924,unsorted,matrix,not stratified,3,5,3,volcanic,igneous,5,14.45,14.65,2.85,4.9,3.58,1.37,3.54,0.03,0.15,66.55330899,1.05,0,0,0,98.95,86.68,0.15,253.86,20.9,0,6.12,58.9,0.55,47.65,0.04,89.82,0.84,0,0.12,0.02,7.59,1.4,679.79,38,6.32,182.88,1.1505596766,27,4.4622231767,9.3102094498,3.039749159,4.5716517803,0.2187393196,0.3289745133,-4.57165178,1.8437192082,2.513961018,0.3977786421,0.5423819395,-1.897119985,0.3872983346,3.6375861597,6.164414003,0.1622214211,0.0263157895,-6.164414003,0.2749075777,3.3619754068,1.8115620965,2.4738633754,5.536782934,15.932984654,0.0627628798,0.1806102952,-0.174353387,0.916515139,3.8638826301,6.9028979422,6.5217839269,26.072782744,0.0014710425,-3.506557897,0.1732050808,4.0758410907,7.6746335417,0.0487901642,1.0246950766,-3.912023005,0.1414213562,2.9337823585,4.3357351441,2.3311961612,-1.180636485
West Valley 2,37.448124,-113.406265,NA,0.84,5.85,43.16,770,2,9.65,128,0.32,5.68,6,100,20,120,small,-25,35,90,162,NA,156.097008,1249.473648,10001.37297,288.0057526,2305.333094,18452.96709,0.75,332,2600,52,0.39,34,23.59630013,sorted,matrix,not stratified,10,3,3,volcanic,igneous,5.1,14.66,14.65,2.85,4.9,3.58,1.37,3.54,0.03,0.15,66.55330899,1.05,0,0,0,98.95,86.68,0.15,253.86,20.9,0,6.12,58.9,0.55,47.65,0.04,89.82,0.84,0,0.12,0.02,7.59,1.4,679.79,38,6.32,182.88,2.5484366247,28,4.4622231767,9.3102094498,3.039749159,4.5716517803,0.2187393196,0.3289745133,-4.57165178,1.8437192082,2.513961018,0.3977786421,0.5423819395,-1.897119985,0.3872983346,3.6375861597,6.164414003,0.1622214211,0.0263157895,-6.164414003,0.2749075777,3.3619754068,1.8115620965,2.4738633754,5.536782934,15.932984654,0.0627628798,0.1806102952,-0.174353387,0.916515139,3.8638826301,6.9028979422,6.5217839269,26.072782744,0.0014710425,-3.506557897,0.1732050808,4.0758410907,7.6746335417,0.0487901642,1.0246950766,-3.912023005,0.1414213562,3.1610899256,4.8576023026,2.3311961612,0.2172404635
West Valley 3,37.449371,-113.415977,NA,0.04,6.72,138.84,613,2,16,43.85,12.52,11.76,4.45,230,25,287.5,small,-25,35,215.625,388.125,NA,259.0346228,2073.434586,16596.74269,476.8459428,3816.898526,30552.2456,1.04,421,2536,66,0.69,53,20.2,unsorted,matrix,not stratified,5,4,3,volcanic,igneous,5.15,14.7,14.65,2.85,4.9,3.58,1.37,3.54,0.03,0.15,66.55330899,1.05,0,0,0,98.95,86.68,0.15,253.86,20.9,0,6.12,58.9,0.55,47.65,0.04,89.82,0.84,0,0.12,0.02,7.59,1.4,679.79,38,6.32,182.88,2.748461233,29,4.4622231767,9.3102094498,3.039749159,4.5716517803,0.2187393196,0.3289745133,-4.57165178,1.8437192082,2.513961018,0.3977786421,0.5423819395,-1.897119985,0.3872983346,3.6375861597,6.164414003,0.1622214211,0.0263157895,-6.164414003,0.2749075777,3.3619754068,1.8115620965,2.4738633754,5.536782934,15.932984654,0.0627628798,0.1806102952,-0.174353387,0.916515139,3.8638826301,6.9028979422,6.5217839269,26.072782744,0.0014710425,-3.506557897,0.1732050808,4.0758410907,7.6746335417,0.0487901642,1.0246950766,-3.912023005,0.1414213562,3.0056826044,4.4944410108,2.3311961612,0.4172650718
Frenchy's Meadow,45.082156,-110.16194,NA,0.024,0.21,3.25,NA,,,,NA,7.08,,,,,,,,,,NA,365.5443641,2925.988499,23420.98399,365.5443641,2925.988499,23420.98399,1.6,785,2411,87,1.39,36,26.55,,,,,,NA,volcanic,igneous,,,12.53,8.07,6.06,2.28,4.27,2.4,0.04,0.21,53.75300159,0,0,9.48,0,90.52,136,1.15,321.02,19.38,0,5.99,119.38,0.73,41.35,0.77,29.57,0.03,11.39,0,0.6,0.05,57.17,839.91,461.32,0.92,174.69,-2.251538767,30,4.9126548857,11.66190379,2.9642416065,4.4022721406,0.2271554252,0.3373544173,-4.402272141,-0.083381609,0.9591663047,1.0425720703,-11.99305234,-1.560647748,0.4582575695,6.1340919454,21.478361204,0.046558487,0.0021676927,-21.4783612,0.1630233144,7.7268193925,1.7900914121,2.4474476501,5.7715034265,17.917031004,0.0558128185,0.1732650795,-3.506557897,0.1732050808,3.7220724215,6.4303965663,6.7332947432,28.981200803,0.0011906038,-3.218875825,0.2,4.7823116827,10.926115504,,0,-0.510825624,0.7745966692,3.2790297477,5.1526692112,-1.69529943,-0.556239337
Slough R.S.,45.054164,-110.149262,NA,0.05,0.66,4,NA,,,,NA,6.32,,,,,,,,,,NA,324.9897873,2601.37065,20822.5905,324.9897873,2601.37065,20822.5905,0.95,800,2614,96,0.91,72,20,,,,,,NA,gneiss,metamorphic,,,12.27,8.73,6,2.26,4.39,2.37,0.04,0.22,52.5360139,0,0,10.49,0.11,89.4,132.96,1.03,318.28,19.45,0,5.94,118.91,0.73,41.14,0.92,26.72,0.04,10.6,0,0.59,0.04,60.65,819.74,461.57,1,175.46,-0.59946207,31,4.8900483311,11.530828244,2.9678470701,4.4102154142,0.2267462938,0.3369445852,-4.410215414,0,1,1,,-1.514127733,0.469041576,6.1346337217,21.484180226,0.0465458765,0.0021665186,-21.48418023,0.1630089171,7.7282149213,1.7817091334,2.4372115214,5.7629314985,17.840403583,0.0560525436,0.1735227983,-3.218875825,0.2,3.7169808842,6.4140470843,6.7089872168,28.63110197,0.001219899,-3.218875825,0.2,4.7783669044,10.904586191,,0,-0.527632742,0.7681145748,2.9957322736,4.472135955,-1.470822808,0.8713607375
