"","Site","EstInt","0","1","2","3","4","5","6","7","8","9","10"
"3","Dollar Ridge 1A",100,93,89.4,NA,88.1,NA,NA,NA,NA,NA,NA,NA
"4","Dollar Ridge 2A",100,93.6,97.9,NA,88.6,NA,NA,NA,NA,NA,NA,NA
"5","Dollar Ridge 3A",100,100,100,NA,100,NA,NA,NA,NA,NA,NA,NA
"6","Dollar Ridge 4A",100,87.8,86.1,NA,83.3,NA,NA,NA,NA,NA,NA,NA
"7","Dollar Ridge 5A",100,100,90.8,NA,83.9,NA,NA,NA,NA,NA,NA,NA
"8","Dollar Ridge 1",100,100,100,NA,100,NA,NA,NA,NA,NA,NA,NA
"9","Dollar Ridge 4",100,69.3,64.9,NA,57.3,NA,NA,NA,NA,NA,NA,NA
"10","Dollar Ridge 5",100,91.2,94.5,NA,89.5,NA,NA,NA,NA,NA,NA,NA
